Content;Label
Ini apLikasi bayar semua .... Baru mau chat aj udh di Lampirkan daftar harga ...dan beLum tentu pertanyaan kita terjawab sepenuhny.;Negatif
Potu;Negatif
"Saya kesel banget sama aplikasi ini. Saya udah keluarin uang tapi pas konsultasi dibales sama dokternya juga engga. Dana ngga bisa direfund lagi. Kalau spt ini yg dirugikan pasien. Tolong lah perbaiki sistemnya dulu. Seharusnya pembayaran boleh lah di awal. tapi uang masih dicekal, nanti baru uang bisa dilepas kalau dokter dan pasien sama"" klik konfirmasi selesai. Kalau dokter ga ngeklik selesai, pasien boleh komplain harusnya. karena artinya dokternya gak aktif, atau ninggalin.";Negatif
Dokternya bagus dan respek thd pasien.keluhan didengarkan, sangat terbantu dgn cara konsultasi secara online walau dimlm hr tetap bs konsul...thanks halodoc dan thanks Dokter 🙏🙏🙏;Positif
Sangat membantu;Positif
Sangat membantu;Positif
cacat beli antibiotiknya harus pake resep dokter ribetttt;Negatif
Ok cepat kendala di perubahan alamat aja tdk bisa ditambah di catatan dan mintol gojeknya antar dengan nambahin ongkirnya seiklasnya puas dan dapat segera di minum obat nya tq;Positif
Simple dan cepat;Positif
Baik;Positif
Sangat efisien dan terbantukan banget,gak perlu antre lama2 utk konsultasi. recommended banget pokoknya, terima kasih halodoc;Positif
App sangat bermanfaat;Positif
Tdk perlu ribet keluar bl obat..;Positif
Sangat membantu;Positif
Sangat membantu;Positif
disaat genting halodoc penyelamat saya, terima kasih 🙏;Positif
Sangat bermanfaat;Positif
order obat malem2 , dapet driver tp drivernya ga bergerak2 , nama apotek ga diketahui , rugi 👎 lg urgent malah sial;Negatif
Sangat membantu;Positif
Aplikasi halodoc sangat membantu;Positif
Dokternya baik;Positif
Sangat membantu;Positif
Baik, cepat, responsif;Positif
Tidak puas� Kenapa jawaban para dokte sama sperti di gogel , sama persis ketika saya browsing , bahkan sampe tulisan an nya / ketikan an nya sama persis sama di gogel ;Negatif
Terbaik;Positif
Puas;Positif
Lebih baik daripada kompetitornya good docter;Positif
Sangat membantu;Positif
Sangat Baik dan dapat diandalkan 👍👍;Positif
Gada konselin tpi duit ga dikurangi. Emng kurang kerjaan halodoc;Negatif
Cukup membantu tanpa harus antri di rs tapi memang gak semua dr yg join di app ini. Jadi terbatas dr yg kita kenalnya;Positif
Mudah dan sangat bermanfaat...;Positif
Saya kurang puas dgn apk ini, dokternya lama balasnya.;Negatif
Good response;Positif
sangat membantu;Positif
Terima kasih;Positif
App bagus buat yg malas pergi ke RS untuk berobat;Positif
Walaupun sebentar gpp lah;Positif
Membeli obat utk adik di semarang. Pemesanan dari Bali. Aman;Positif
sangat membantu sekali;Positif
Mw beli obat diarahkan konsultasi, udah konsultasi sm dokter tetap aja nga bisa. Jd males make nya mending beli sendiri ke apotik;Negatif
Sangat membantu dlm keadaan darurat;Positif
Memudahkan;Positif
Dokternya sangat ramah;Positif
Sangat membantu;Positif
Mantap;Positif
gratis matamu;Negatif
Dokter nya ramah, responnya cepat. Semoga makin sukses;Positif
Layanan cepat dan baik;Positif
Cuma install ini waktu sekolah di luar kota, untuk pesen lacak pesanan obat sudah sampai mana, stelah pulang ke kampung sudah tak berguna xD karna beli obat tinggal jalan kaki sebelah rumah;Negatif
Mudah digunakan;Positif
Mantap;Positif
Sayang kga bsa order obat di app, selalu gagal pembayaran;Negatif
Dokternya cepat tanggap.. kereen;Positif
Dokternya cepat tanggap keren aplikasinya;Positif
Sangat membantu;Positif
Respon cepat;Positif
Simpel dan mudah;Positif
Bagus;Positif
Puas dan ramah,tepat dan pelayanan yang memuaskan;Positif
Good apps;Positif
Cepat di respon oleh dokternya;Positif
Ok gk bisa isi saldo setelah di update..;Negatif
Keren;Positif
Bagus sekali;Positif
Keren;Positif
Nice;Positif
Jelek banget nih pelayanan. Buruk. Respon lama. Pengembalian dana aja lama bgt. Yg eror juga dia sama dokternya. Harusnya cepet dong pengembalian dana nya;Negatif
Yah kirain tanya dokter gratis ternyata berbayar, lain x tambahin fitur gratis chat dokter khusus pengguna baru yaa..;Negatif
TOP Lah... bintang yg bicara;Positif
Bisa dapat surat dokter;Positif
Cepat rensponnx;Positif
Nice;Positif
Baguss;Positif
terbaik;Positif
Ok fasss respon;Positif
Meski malam² order alhamdulillah terlayani;Positif
Sat set set;Positif
Aplikasi penipu,dalam proses mulu gajadi jadi;Negatif
kenapa saya tidak bisa menambahkan saldo y?di aplikasi tidak tertera dompet saya;Negatif
Terbantu banget, gak perlu antri berlama² untuk konsul dengan dokter spesialis.;Positif
ok;Positif
Mantab selalu berkomitmen yg terbaik dng meresepkan obat sesuai kebutuhan pasien;Positif
Bagus untuk konsultasi;Positif
Berjalan dgn baik aplikasi ini;Positif
Respon dokter cepat dan terhubung ke asuransi kntr;Positif
Selalu siap disaat kita tidak siap....;Positif
Bagus bamget;Positif
Respon dokter baik dan resep obat ready di apotek terdekat dan cepat pengirimannya;Positif
Sangat membantu 😚;Positif
Cepat dan sesuai pesanan;Positif
Okkkkkkk bangettt broo;Positif
Sangat membantu;Positif
Membantu;Positif
konsultasi memuaskan;Positif
Makasih saya terbantu banget;Positif
Sangat membantu saya dalam memenuhi kebutuhan obat2 andan vitamin;Positif
Konsultasi dng dokternya sih sdh oke. Tapi obat yg sering kosong diapotik mitranya itu yg bikin kesal. Ditambah layanan Heidy yg minta sabar menunggu sampai 3jam dan taunya tetap zonk. Tolong mitra apotiknya distandarisasi obatnya. Saat ini 18feb2023 jam 8.25 komplain saya masih berlangsung dng callcenter Heidy halodok. Dan belum ada solusi;Negatif
Helpful and so flexible!;Positif
Cepat tanggap dalam merespon pelanggan, dan mudah menggunakan appnya, untuk pembelian obat cepat juga dalam pengirimannya;Positif
Saya pernah bayar untuk konsultasi tapi dokternya ga balas chat saya, sia sia kapok pake halodok;Negatif
Sangat membantu.;Positif
Sangat membantu saat konsultasi butuh resep dokter.;Positif
Membantu banget lah ;Positif
Terima kasih sangat membantu.sekali lagi terima kasih🙏🙏;Positif
Oke;Positif
Good;Positif
Berguna bagi kaum yg tidak suka keramaian👍👍;Positif
Cukup membantu.. trimakasih;Positif
Dapat rekomen dr sodara, moga selalu membantu ya aplikasinya 👍;Positif
Sangat membantu jika butuh dojter di waktu2 tertentu;Positif
24 jam, keren dokternya;Positif
Mohon untuk waktu konsultasinya diperlama lagi, belum selesai konsultasi di stop ditengah jalan hmmm;Negatif
Bertemu dan konsultasi dengan dokter yang ramah dan solutif. Terimakasih;Positif
Oke;Positif
The best banget penolong saat sakit;Positif
Keren. Jd ga perlu jalan kemana mana;Positif
Cukup membantu dalam keadaan darurat;Positif
Respon cepat ya dan banyak yg ditanyakan oleh dokter detail sekali;Positif
Akan menjadi terakhir kalinya pesan resep langsung di app ini. Lokasi kita di app tidak tepat, sehingga pesanan kita diantar oleh driver bukan ke rumah kita.;Negatif
Bisa bisanya harga tidak sesuai;Positif
Bagusss cepat solusi buat beli obat😍♥;Positif
Kok di akunku ga bisa isi saldo dari m banking gimana ya??? Thanks;Positif
Sangat amat membantu untuk konsultasi dan beli obat;Positif
sangat membantu;Positif
Terima kasih halodoc sudah sangat membantu kami..;Positif
Respon lumayan cepat;Positif
Hasil konsultasi, obat yg diresepkan, smua cocok. Alhamdulillah..;Positif
Pelayanan cepat dan bagus Sangat recommended untuk penurunan berat badan;Positif
Alhamdulillah, terimakasih halodoc, respon cepat dan ramah sekali dokternya;Positif
Dokternya ramah;Positif
Sangat membantu;Positif
Mantap;Positif
Sangat membantu;Positif
Tambah wawasan;Positif
Sangat membantu;Positif
dokternya cepat merespon;Positif
Sangat membantu disaat tidak tau harus bertanya kemana disaat sakit.;Positif
Praktis buat Konsul online dgn harga yg trjangkau dan dpat resep dari dokter disaat LG batuk pilek yg gk kunjung sembuh, Terimakasih halodoc dan dokter online konsulnya 🙏🙏🙏;Positif
Aplikasi keren puas banget sangat praktis dan canggih bangga banget ada diindonesia;Positif
"aku sudah coba bagus bgt apk nya, cepat praktis dan tidak buang"" waktu, ternyata di era digital bisa jadi lebih praktis ya";Positif
Membantu menemukan dokter spesialis;Positif
Matap;Positif
Sangat membantu,mudah diakses,dokternya ramah, prosesnya cepat.thanks Halodoc;Positif
Memudahkan dalam keperluan obat secara online;Positif
Bagus cukup membantu... terimakasih halodoc, sukses selalu 🙏;Positif
Sangat membantu disaat keluarga membutuhkan;Positif
Mantap aplikasinya sangat membantu;Positif
Aplikasi membantu. Dokternya ramah. Thanks;Positif
Sangat membantu dalam pengobatan dan konsultasi dokter;Positif
very help full. thank you;Positif
Bermanfaat;Positif
Amazing apps;Positif
Thank you doctors;Positif
Udah bayar dan saldo udah kepotong malah gak bisa chat dokternya;Negatif
Sangat membantu disaat genting hrs bagaimana menolong doggy yg sakit;Positif
Memudahkan untuk membeli obat;Positif
Mantap;Positif
Good;Positif
Menolong sekali jika ingin konsultasi kesehatan atau Krn sakit, masalah gigi, hewan kesayangan sakit semua bisa di halodoc...terima kasih halodoc;Positif
Sangat membantu;Positif
Udah bayar, tapi terhuhung sama dokternya lama bgt!!!!!!!;Negatif
Harus bayar lumayan mahal;Negatif
nice;Positif
Aplikasi nya sangat membantu sekali;Positif
Alhamdulillah dokternya jelas menerangkan;Positif
Bberapa kali konsultasi, dokternya ada yg slow respon, ada juga yg fast respon. Waktunya memang 30 menit, tapi kadang baru aja 10 menit berlalu dokternya buru2 mengakhiri percakapan, padahal saya masih mikir apa lagi yg mau saya tanyakan terkait keluhan saya. Jadi kurang puas dengan pelayanannya, krn langsung di endchat.;Negatif
Puas bgt, pelayanan cepat, konsul juga responsif;Positif
Makasih;Positif
Penolong pada saat sakit, dokternya ramah dan apotiknye gercep;Positif
Ini kenapa sih halodoc yang terbaru ini harus ada konsul dokter dulu setiap kali mau beli obat, mana responnya lama, klo orang urgen sempat koma dulu baru bisa beli obat;Positif
Sangat membantu dan bermanfaat..;Positif
Keren;Positif
Solusi cepat sebelum ke dokter dalam libur, sebelum ke dokter langganan.;Positif
Sangat membantu;Positif
Pertahankan;Positif
Bermanfaat;Positif
respon dokter dan pengiriman sangat cepat;Positif
Sangat membantu;Positif
Bermanfaat sekali buat yg mager berobat kluar rumah, chat dokter yg di tuju cepat di responnya;Positif
Sangat membantu, trimakasihhh dokter 🙏;Positif
sangat membantu proses konsultasi kesehatan, dokternya ramah ramah dan terlihat berpengalaman. semoga maju terus halodoc ^_^;Positif
aplikasi yang sangat memudahkan pengguna;Positif
Keren;Positif
Sangat bagus dan sangat membantu sekali.;Positif
mantap;Positif
Mengecewakan!!! Daftar vaksin via halodoc di lapangan banteng pas nyampe lokasi tidak ada lokasi vaksin. Sudah Tanya ke petugas di lapangan banteng pun tidak tahu kalo ada kegiatan vaksin yg diselenggarakan oleh Halodoc. Tanya cs halodoc no PIC kegiatan gak dikasih. Kegiatan tidak terkoordinasi dengan baik. Masa cs hanya bilang lapangan banteng samping hotel Borobudur. Saya juga tau, tapi yg saya mau itu lokasi detailnya. Sehingga tidak perlu hujan hujanan nyari lokasi tapi nihil.;Negatif
Suka;Positif
Terbantu;Positif
Cepat responnya .kalau pesen dadakan selalu cepat .dan pembayarannya juga mudah;Positif
Aplikasinya sangat membantu, konsultasi dan pengantaran obat sangat cepat;Positif
Sangat betmanfaat sekali dan memuaskan untuk pederita psikosomatis sprti sayaa.;Positif
Sistem pembayaran sedang gangguan terus lelet;Positif
Sangat menolong disaat urgent. Dokter chatnya bisa membantu jam 5 subuh.. luar biasa.;Positif
Good;Positif
membantu dalam kondisi darurat...;Positif
Sangat bermanfaat;Positif
Service cepat dan akurat;Positif
Goodjob lahhh;Positif
Terima kasih halodoc, saya pengguna lama sudah 2th lebih pakai ini;Positif
Sangat membantu konsultasi cepat, dokternya ramah. Tetap pertahankan;Positif
Admin, kedepannya tolong adain konsultasi dengan durasi 30mnt atau 1 jam. 🙏;Positif
Jos;Positif
Loveeeeeee banget. Dokternya baik dan ramah, fast respon. Terbaiiiikkkkkk;Positif
Dokternya sangat ramah 🙏;Positif
So far so good;Positif
Bagus sih aplikasinya hanya sayang banget banyak obat yang gak bisa ditebus pakai resep dokter halodoc di Pontianak. Mohon ditingkatkan kualitasnya ya.;Positif
Sangat membantu terimakasih halodoc🙏🏿;Positif
Helpfull.;Positif
Sangat membantu, namun biyaya obat relatif mahal.;Positif
App nya membantu;Positif
Masih banyak bug terutama dalam hal chat yang terlambat muncul, contohnya saat chat dengan dokter balasan dari dokter atau pasien tidak langsung muncul, akibatnya percakapan menjadi tidak nyambung atau terputus konteksnya. selain itu kenapa balasan dokternya slow respon? Padahal waktunya hanya setengah jamjam! ! Apakah dokter juga melayani pasien lain di jam yang sama?? tolong diperhatikan kenyamanan user, mohon kedepannya diperbaiki.;Negatif
Tksh bnyk, aplikasi ini sangat membantu. Dokter ny responsif dan sangat melayani. Cepat, padat,jelas. Tksh bnyk Dok...;Positif
UX nya buruk, harusnya kalau login jangan hanya pakai nomor hp, tambah akun lain kek kaya google / FB / lainnya, kan bagi yg nomornya biasa susah nerima kode verifikasi karena hp / kartunya rusak kan jadi susah, apalagi sekarang di akunku ada resep obat yg semuanya belum di beli, masa harus daftar ulang terus Konsul ulang, kan hambur uang;Negatif
Sejauh ini sangat membantu;Positif
Mantap;Positif
Besar manfaatnya kalo kita bisa konsul melalui halo doc ini krn selain tnp ke dokternya langsung kita bisa melalui hp saja;Positif
Cukup Membantu disaat klinik bp** tidak bisa diharapkan.;Positif
Aplikasi ini sangat membantu disaat ingin berobat tanpa harus keluar rumah, tinggal konsultasi online trs order obatnya kelar deh. Dokternya juga fast response . Pengiriman obat juga cepat. Terimakasih halodoc;Positif
Sangat membantu;Positif
Bgus sekali ,obat yg di pesan sampai ke rumah langsung ,walau tempat tinggal kita di pelosok. Semoga tetap konsisten dan memberi pelayanan yang puas untuk konsumen.;Positif
Sangat membantu dan terjangkau;Positif
Mantap;Positif
Sangat bagus utk memahami situasi kesehatan secara umum sebelum penanganan lebih intensif..;Positif
Servisnya sangat jelekk.masa saya ada kekeliruan dokter dan tidak ada konsul masa ga ada refund ataupun di ganti dokter.ya minimal dicarikan dokter dengan harga yang setengah soalnya biar sama2 enak.ini engga malah ga ada solusi yang sama2 menguntungkan sama sekali!!!!;Negatif
Sangat membantu;Positif
Sangat membantu;Positif
Cepat respon konsul dokternya...;Positif
Menurut saya ok untuk konsul ke dokter. Dan untuk pembayaran juga mudah.;Positif
Sangat terbantu dgn app ini. Dokter nya juga menanggapi dan menjelaskan dgn baik;Positif
Puas, bisa konsultasi tanpa keluar rumah;Positif
Bagus;Positif
Konsultasi Berjalan baik dan Sangat membantu..terimakasih;Positif
Pui Tuhan banget pakai halodoc, sesuai banget😍😍 terimakasih;Positif
Penjelasannya bermanfaat;Positif
Sangat membantu untuk yg selalu sibuk kerja..;Positif
Bagus membantu;Positif
Banyak membantu tanpa repot2 hrus dtng rm sakit trimakasih halodoc;Positif
Cepat;Positif
Keluhan cepat direspon;Positif
Chat dengan dokter nya Tidak Bisa !! Krn kendala dr halodoc nya. Padahal saya udh bayar, saat mau chat dgn dokter nya, chat saya tidak masuk ke dokter nya. Saya chat dgn CS, katanya tunggu sampai 2 jam kedepan utk refund dana nya. Ehh, tiba2 udh berakhir aja sesi chat dgn dokter nya. Padahal belum konsultasi sama sekali !!! Di catatan dokter nya, pasien tidak konsultasi, gmn mau konsultasi?? Sementara chat dgn dokter nya ga masuk ! Penanganan dr CS halodoc nya jg lambat ! Tolong ya diperbaiki!;Negatif
Rugi... Aplikasi gangguan cuma chat 5 menit gk ada tanggapan apa2;Negatif
Layanan dokter yang memuaskan;Positif
Saat chat dengan dokter pesan nya gk muncul sama sekali sangat² buruk padahal kudu nabung dulu biar bisa Konsul alhasil cuma dapat kecewanya aja 😭😭 aku gk ikhlas 😭😭;Negatif
tertolong berkat halodoc saya cari obat untuk orang tua saya susahnya minta ampun tdk dapet² pas cari² di internet ada solusi ternyata pesan obat lebih terjamin di halodoc dan dapat resep doktor juga.;Positif
Sangat buruk sudah bayar untuk konsultasi tpi tidak bisa chat sama dokter sama sekali sampai waktu habis;Negatif
Error gk bisa konsultasi dan chat dokter gk masuk masuk;Negatif
Bagus;Positif
Sangat membantu, ketika sakit dan harus bekerja, bisa konsul di jam kantor dan dapat obat. Mudah dan praktis;Positif
bagus;Positif
Terima kasih kepada dokternya karena dengan ini saya tidak perlu keluar;Positif
Super mengecewakan terutama bagian chat pusat bantuan. Lama juga pengemasan dan pengirimannya. Ga lagi deh langganan di sini. Bye!;Positif
Mempermudah;Positif
Sangat membantu dikala apotek jauh dan tidak ada kenderaan;Positif
Sangat membantu mengatasi keluhan kesehatan, dgn respon yg cepat dr dokter;Positif
Biaya terjangkau dan mudah dokter dan bidan ramah;Positif
Pelayanan cepat;Positif
Sangat sulit mencari dokter yang komunikatif (respon dokternya sangat lama) :). Setidaknya ada review agar dapat mempermudah mencari dokter.;Negatif
Bgus smua;Positif
Sangat membantu, terutama di saat kita tidak bisa konsultasi secara langsung ke rumah sakit, terima kasih halodoc;Positif
Sangat membantu sekali;Positif
Sangat membantu;Positif
Suka pakai sangat;Positif
Sangat membantu;Positif
sangat membantu, praktis dan alhamdulillah selalu cocok dengan obat2nya..apalagi sudah bekerjasama dengan bnilife;Positif
Sangat membantu;Positif
Aplikasi halodoc sangat membantu untuk mencari obat;Positif
Sangat membantu,daripada harus keliling cari obat di apotek satu satu;Positif
Sangat puas, pelayanan cepat;Positif
Oke;Positif
Mempermudah banget;Positif
Sangat membantu dng dktr yg ramah dan fast respon;Positif
Oke banget sih..;Positif
Sangat membantu;Positif
Sangat membatu sekali, saat belum sempat datang ke klinik atau faskes terdekat,;Positif
Baik;Positif
Recommend banget buat kita yang jauh dari rumah sakit;Positif
Barang cepat sampai;Positif
Bagus;Positif
PUAS DENGAN APLIKASI INI;Positif
Luar biasa....aplikasi ini sangat membantu didalam kesehatan dan konsultasi dokter serta pembelian obat apabila kita tidak memiliki waktu. Tingkatkan terus Programnya;Positif
Aplikasi ini sangatlah membantu 👍🏻👍🏻👍🏻 rekomendasi sekali kalau ingin konsultasi tapi tidak bisa keluar rumah, sehingga bisa konsultasi melalui media online yg disediakan oleh aplikasi ☺️;Positif
Sangat bagus;Positif
Bermanfaat;Positif
Terimakasih, fitur konsultasi dokter cukup membantu;Positif
Pertama kali download karena butuh obat dadakan jam 2 malam. Ternyta obat ku butuh resep dokter, dan syukurnya konsul gratis dari hallodoc bisa se fast respon itu walaupun di tengah malam. Ada layanan antar instant juga dari Hallodoc nya ,sangat membantu;Positif
Semoga semua baik² saya, tengah mlm kebngun anak buluku mkn roti coklatt...haiss syok bngtt.. tenang setelah konsultasi🙏 mksh bnyk dok;Positif
Lebih cepat dari perkiraan sampai;Positif
Sangat membantu terutama jika sakit di malam hari.;Positif
Sangat bermanfaat dan simple;Positif
The best;Positif
Kerenn . . Lumayan;Positif
Sangat membantu;Positif
Helpfull;Positif
Dokternya garcep makasih dok;Positif
Sangat membantu dan efisien sekali;Positif
Pihak halodoc terlalu lama dalam merespon komplain, apotek yang menjadi partner halodoc juga tidak amanah, karena pesanan obat saya kurang. Sudah saya chat halodoc juga tidak ada respon...!!!!!!!;Negatif
Bagus sekali membantu;Positif
Sangat membantu;Positif
Jalan keluar ketika dokter praktek di tempat kita ga ada;Positif
Sangat membantu saya di rantauan lah kalau untuk sakit ringan yg butuh obat, tidak susah nyari konsultasi dan obatnya di antar, kalau bisa menyebar keseluruh daerah untuk bekerjasama dengan apotik2 per daerahnya, bisa sangat bermanfaat untuk yg merantau;Positif
Terbantu dengan aplikasi ini dan kita bisa berkonsultasi dengan mudah. Terimakasih;Positif
App bagus, konsultasi dokter & beli obat disini jadi ringkes gak pake ribet 👍🏽👍🏽;Positif
Sangat membantu dalam kondisi darurat, konsul terjangkau, dan resep tepat;Positif
Memudahkan konsultasi saat sakit.;Positif
sat set banget dokternya ngerespon chatt pasien seperti saya;Positif
Mantap pelayanannya fast respon banget, konsultasi gak harus ke rumah sakit, langsung bisa di aplikasi;Positif
Cukup baik dan membantu disaat sedang genting;Positif
Baik. Tapi konsultasi waktu nya sangat terbatas. Saya sangat puas;Positif
Berguna Banget;Positif
Dokternya baik dan sangat ramah dan memberi solusi yg baik;Positif
Terbaik;Positif
Sangat membantu dikala tidak bisa langsung dtg ke dokter atau rumah sakit. Aplikasi mudah digunakan, fitur banyak dan menarik, cara pembayaran yg mudah dan efisien serta dibantu oleh dokter berpengalaman, ramah, membuka ruang konsultasi yg jelas dan mudah dimengerti. Trims halodoc, sukses terus yaa;Positif
buruk pengiriman sangat lama sampai hampir 2 minggu baru sampai, padahal saya disolo. mau cek nomor resi juga ribet.;Negatif
Sangat membantu;Positif
Ngebantu banget dirumah lagi pada sakit semua ga ada yg bisa keluar beli obat , konsul sama belanja obat di halodoc solusi banget , makasih;Positif
Ka cara berenti langganan gimana ya ka, aku ga pernah pake halodoc lgi tpi saldo didana aku ketarik terus, dan itu mengecewakan;Negatif
sangat bermanfaat dikala sakit mendadak;Positif
Oke bgt halodoc;Positif
Solusi kepepet klo anak sakit tengah malam, sudah lama ngebantu sekali, lebih mudah konsultasi dan beli obat.. Cuman sayang klo obat untuk bayi harus racikan sulit mesannya, obat masuk ke 2 toko, tapi biaya jasa racik 2 kali masuki di satu toko jadi repot;Positif
Sangat membantu;Positif
Terima kasih dok obat2nya yang di kasih bagus dan gak terlalu mahal, respon cepat;Positif
Sangat membantu disaat bingung 8ngin berkonsultasi;Positif
Sangat membantu dan dokter nya cepat respon;Positif
Cukup memudahkan pengobatan apa lagi kalo emak yang sakit🙂;Positif
sangat membantu ketika dlm kesulitan tengah mlm butuh obat;Positif
Mantaaap ... Cepat dan aman terpercaya;Positif
Dokternya ramah dan membantu memberikan solusi atas masalah yang saya alami;Positif
Sangat..sangat membantu sekali.. Apalagi saya beda kota dengan ortu..jadi klo ortu butuh obat..langsung cuzz halodoc..keren👍👍👍;Positif
Sangat membantu dan sat set sat set;Positif
trimakasiih halodoc.. sangat membantu sekali karna pada saat sakit tidak bisa keluar rumah pesan halodoc pengiriman cepat gak ribet..🙏😊👍👍👍👍👍;Positif
Membantu sekali;Positif
Mantab betul;Positif
Sangat responsif;Positif
Helpfull application;Positif
Bagus;Positif
Pengalaman pertama daftar janji sama dokter RS Salah Satu di makassar. Tulisan janji ketemu dokter jam 17.00 WITA namun sampe jam 21.00 WITA masih antri biasa & belum di layani..mohon perbaikan dan koordinasi dengan RS terkait...demi perbaikan aplikasi ini;Positif
Andalan;Positif
Dokternya ramah dan sabar;Positif
sangat membantu;Positif
Good;Positif
Dokter sangat informatif;Positif
Sangat membantu 👍🏼;Positif
Thanks halodoc, aku jadi gampang banget buat tanya2 masalah kesehatan dan kondisi tubuh aku tanpa harus pergi ke rumahsakit;Positif
Good job pelayanannya. Thx.;Positif
Puas;Positif
Baik sekali;Positif
Good;Positif
Mantap,sangat membantu;Positif
Good;Positif
"APLIKASI PENIPUANJING! ABIS BAYAR TIBA"" DOKTER GAK BS DICHAT! UANG LUDES!! APLIKASIBANGSATTT!!";Negatif
Gak guna;Negatif
Membantu;Positif
Baru aja Taransfer , tiba tiba konsultasinya dibatalkan , pengembalian dana ga ada , tolong direspon..;Negatif
Sangat kecewa . Sudah menunggu 2 hari tiba2 pesanan dibatalkan . Jika memang stock tidak ada kenapa pesanan diterima . Haduhhh;Negatif
Dokter spesialis penyakit dalam tp serasa dokter umum Bayar mahal2 tp tidak dpt terapi Mending konsul di google ajah Slow respon juga;Negatif
Bermanfaat sekali;Positif
Sangat membantu sekali;Positif
Sangat membantu;Positif
Sangat membatu;Positif
Dokternya respon, ramah dan melayani;Positif
Terimakasih halodoc ,sangat membantu aplikasi ini bagus 👍👍;Positif
Kenapa pilihian pengirimN nya cuma ada reguler. Ga helpull banget ga kaya dulu;Negatif
Puas dengan jawaban dokternya;Positif
Puas;Positif
Bagus;Positif
Enak bgt konsultasi sma dokternya;Positif
Sangat bagus;Positif
Tadi saya 2 kali mencari dokter, tidak tersedia, biaya yang pertama sudah di refund karena dibatalkan, tetapi yang kedua transaksi berhasil padahal tidak tersambung dengan dokter nya, pembayaran juga belum di refund !;Negatif
UDH DIBAYAR DOKTER NYA,, TP MASA NGGA KASIH SOLUSI,, CHAT DI BACA 2 PESAN DOANG TERUS DI TINGGAL,, SAYA NUNGGUIN SMPE NGANTUK,, SAYA CUMA BUAT PERBANDINGAN AJA SAMA ALO DOK,, MASIH MENDING ALO DOK,, SAYA BAYAR CUMA 8.500 RESPON BAIK MEMUASKAN,, TD DI HALO DOK SAYA BAYAR 17.500 ASTAGAAA UANG UDH ILANG ,, TIDAK ADA RESPON,, TAU TAU ADA CATATAN PASIEN TIDAK MEMPUNYAI KELUHAN ,, SAYA CHAT KARENA ADA SAKIT DIBADAN SAYA,, UDH SAYA CANTUMKAN JG KELUHAN SAYA,, APLIKASI NYA HARUS PINTAR PINTAR PILIh.;Negatif
Sangat membantu sekali terimakasih bu dokter.;Positif
BLACKLIST & BINTANG 1 CUKUP!! Sangat kecewa pelayanan Halodoc ini. Tidak efisien dan tidak efektif!!! Proses pengantaran obat sangatttttttt lamaaaaa!! Konfirmasi driver dan apotek sulit !!;Negatif
Sangat membantu;Positif
Sangat membantu;Positif
Sangat membantu;Positif
Sangat sangat membantu kalau dalam keadaan sakit urgent;Positif
Cukup membantu untuk yang malas ke praktik dokter karena antre Untuk sekedar mengetahui masalah masih bisa diandalkan;Positif
Price tag nya alhamdulillah aman dikantong, semoga semua doker dan developnya diberi kalancaran rezeki. Aamiin...;Positif
