Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
"Sangat mengecewakan, tidak sesuai ekspetasi penanganan respon komplain pengiriman barang tidak sesuai terlalu lama padahal kondisi malam dan urgent obat nya",Positif,Sangat mengecewakan tidak sesuai ekspetasi penanganan respon komplain pengiriman barang tidak sesuai terlalu lama padahal kondisi malam dan urgent obat nya,sangat mengecewakan tidak sesuai ekspetasi penanganan respon komplain pengiriman barang tidak sesuai terlalu lama padahal kondisi malam dan urgent obat nya,"['sangat', 'mengecewakan', 'tidak', 'sesuai', 'ekspetasi', 'penanganan', 'respon', 'komplain', 'pengiriman', 'barang', 'tidak', 'sesuai', 'terlalu', 'lama', 'padahal', 'kondisi', 'malam', 'dan', 'urgent', 'obat', 'nya']",mengecewakan sesuai ekspetasi penanganan respon komplain pengiriman barang sesuai kondisi malam urgent obat nya,kecewa sesuai ekspetasi tangan respon komplain kirim barang sesuai kondisi malam urgent obat nya
Sangat membantu sekali adanya halodoc dan bisa konsultasi sama dokternya dan terjangkau biaya konsultasinya..terimakasih dokter,Positif,Sangat membantu sekali adanya halodoc dan bisa konsultasi sama dokternya dan terjangkau biaya konsultasinya terimakasih dokter,sangat membantu sekali adanya halodoc dan bisa konsultasi sama dokternya dan terjangkau biaya konsultasinya terimakasih dokter,"['sangat', 'membantu', 'sekali', 'adanya', 'halodoc', 'dan', 'bisa', 'konsultasi', 'sama', 'dokternya', 'dan', 'terjangkau', 'biaya', 'konsultasinya', 'terimakasih', 'dokter']",membantu halodoc konsultasi dokternya terjangkau biaya konsultasinya terimakasih dokter,bantu halodoc konsultasi dokter jangkau biaya konsultasi terimakasih dokter
Sangat membantu walopun ada dokter yg tidak ramah heheh terimakasih halodocðŸ˜ŠðŸ˜Š,Positif,Sangat membantu walopun ada dokter yg tidak ramah heheh terimakasih halodoc,sangat membantu walopun ada dokter yg tidak ramah heheh terimakasih halodoc,"['sangat', 'membantu', 'walopun', 'ada', 'dokter', 'yg', 'tidak', 'ramah', 'heheh', 'terimakasih', 'halodoc']",membantu walopun dokter yg ramah heheh terimakasih halodoc,bantu walopun dokter yg ramah heheh terimakasih halodoc
Dokternya ramah dan langsung respon keluhan pasien,Positif,Dokternya ramah dan langsung respon keluhan pasien,dokternya ramah dan langsung respon keluhan pasien,"['dokternya', 'ramah', 'dan', 'langsung', 'respon', 'keluhan', 'pasien']",dokternya ramah langsung respon keluhan pasien,dokter ramah langsung respon keluh pasien
Konsultasinya langsung dengan dokter spesialis dan harganya terjangkau,Positif,Konsultasinya langsung dengan dokter spesialis dan harganya terjangkau,konsultasinya langsung dengan dokter spesialis dan harganya terjangkau,"['konsultasinya', 'langsung', 'dengan', 'dokter', 'spesialis', 'dan', 'harganya', 'terjangkau']",konsultasinya langsung dokter spesialis harganya terjangkau,konsultasi langsung dokter spesialis harga jangkau
Sangat membantu sekali disaat kita emergency... Terima kasih Halodoc ... love u,Positif,Sangat membantu sekali disaat kita emergency Terima kasih Halodoc love u,sangat membantu sekali disaat kita emergency terima kasih halodoc love u,"['sangat', 'membantu', 'sekali', 'disaat', 'kita', 'emergency', 'terima', 'kasih', 'halodoc', 'love', 'u']",membantu disaat emergency terima kasih halodoc love u,bantu saat emergency terima kasih halodoc love u
"Terbaik sangat membantu, terima kasih halodoc",Positif,Terbaik sangat membantu terima kasih halodoc,terbaik sangat membantu terima kasih halodoc,"['terbaik', 'sangat', 'membantu', 'terima', 'kasih', 'halodoc']",terbaik membantu terima kasih halodoc,baik bantu terima kasih halodoc
Trimakasih atas saran nya,Positif,Trimakasih atas saran nya,trimakasih atas saran nya,"['trimakasih', 'atas', 'saran', 'nya']",trimakasih saran nya,trimakasih saran nya
"Terima kasih dokternya komunikatif, semoga obatnya cocok",Positif,Terima kasih dokternya komunikatif semoga obatnya cocok,terima kasih dokternya komunikatif semoga obatnya cocok,"['terima', 'kasih', 'dokternya', 'komunikatif', 'semoga', 'obatnya', 'cocok']",terima kasih dokternya komunikatif semoga obatnya cocok,terima kasih dokter komunikatif moga obat cocok
Seesaw the first time eew,Negatif,Seesaw the first time eew,seesaw the first time eew,"['seesaw', 'the', 'first', 'time', 'eew']",seesaw the first time eew,seesaw the first time eew
Orderan reguler 1 - 3 hari nyampe Udh masuk hari ke 3 barang dikirim juga belom. Mana obat mahal dan obatnya ga boleh putus minumnya. Di telp ke CS mau pembatalan mau pesen ulang biar ubah pengiriman pake instan ga bisa juga. Ga membantu sama sekali. Klo smp terjadi apa2 sm saya saya tuntut halodoc,Negatif,Orderan reguler hari nyampe Udh masuk hari ke barang dikirim juga belom Mana obat mahal dan obatnya ga boleh putus minumnya Di telp ke CS mau pembatalan mau pesen ulang biar ubah pengiriman pake instan ga bisa juga Ga membantu sama sekali Klo smp terjadi apa sm saya saya tuntut halodoc,orderan reguler hari nyampe udh masuk hari ke barang dikirim juga belom mana obat mahal dan obatnya ga boleh putus minumnya di telp ke cs mau pembatalan mau pesen ulang biar ubah pengiriman pake instan ga bisa juga ga membantu sama sekali klo smp terjadi apa sm saya saya tuntut halodoc,"['orderan', 'reguler', 'hari', 'nyampe', 'udh', 'masuk', 'hari', 'ke', 'barang', 'dikirim', 'juga', 'belom', 'mana', 'obat', 'mahal', 'dan', 'obatnya', 'ga', 'boleh', 'putus', 'minumnya', 'di', 'telp', 'ke', 'cs', 'mau', 'pembatalan', 'mau', 'pesen', 'ulang', 'biar', 'ubah', 'pengiriman', 'pake', 'instan', 'ga', 'bisa', 'juga', 'ga', 'membantu', 'sama', 'sekali', 'klo', 'smp', 'terjadi', 'apa', 'sm', 'saya', 'saya', 'tuntut', 'halodoc']",orderan reguler nyampe udh masuk barang dikirim belom obat mahal obatnya ga putus minumnya telp cs pembatalan pesen ulang biar ubah pengiriman pake instan ga ga membantu klo smp sm tuntut halodoc,order reguler nyampe udh masuk barang kirim bom obat mahal obat ga putus minum telp cs batal sen ulang biar ubah kirim pake instan ga ga bantu klo smp sm tuntut halodoc
Mantap,Positif,Mantap,mantap,['mantap'],mantap,mantap
Bagus sekali Dan membantu sekali,Positif,Bagus sekali Dan membantu sekali,bagus sekali dan membantu sekali,"['bagus', 'sekali', 'dan', 'membantu', 'sekali']",bagus membantu,bagus bantu
Ini apLikasi bayar semua .... Baru mau chat aj udh di Lampirkan daftar harga ...dan beLum tentu pertanyaan kita terjawab sepenuhny.,Negatif,Ini apLikasi bayar semua Baru mau chat aj udh di Lampirkan daftar harga dan beLum tentu pertanyaan kita terjawab sepenuhny,ini aplikasi bayar semua baru mau chat aj udh di lampirkan daftar harga dan belum tentu pertanyaan kita terjawab sepenuhny,"['ini', 'aplikasi', 'bayar', 'semua', 'baru', 'mau', 'chat', 'aj', 'udh', 'di', 'lampirkan', 'daftar', 'harga', 'dan', 'belum', 'tentu', 'pertanyaan', 'kita', 'terjawab', 'sepenuhny']",aplikasi bayar chat aj udh lampirkan daftar harga terjawab sepenuhny,aplikasi bayar chat aj udh lampir daftar harga jawab sepenuhny
Potu,Negatif,Potu,potu,['potu'],potu,potu
"Saya kesel banget sama aplikasi ini. Saya udah keluarin uang tapi pas konsultasi dibales sama dokternya juga engga. Dana ngga bisa direfund lagi. Kalau spt ini yg dirugikan pasien. Tolong lah perbaiki sistemnya dulu. Seharusnya pembayaran boleh lah di awal. tapi uang masih dicekal, nanti baru uang bisa dilepas kalau dokter dan pasien sama"" klik konfirmasi selesai. Kalau dokter ga ngeklik selesai, pasien boleh komplain harusnya. karena artinya dokternya gak aktif, atau ninggalin.",Negatif,Saya kesel banget sama aplikasi ini Saya udah keluarin uang tapi pas konsultasi dibales sama dokternya juga engga Dana ngga bisa direfund lagi Kalau spt ini yg dirugikan pasien Tolong lah perbaiki sistemnya dulu Seharusnya pembayaran boleh lah di awal tapi uang masih dicekal nanti baru uang bisa dilepas kalau dokter dan pasien sama klik konfirmasi selesai Kalau dokter ga ngeklik selesai pasien boleh komplain harusnya karena artinya dokternya gak aktif atau ninggalin,saya kesel banget sama aplikasi ini saya udah keluarin uang tapi pas konsultasi dibales sama dokternya juga engga dana ngga bisa direfund lagi kalau spt ini yg dirugikan pasien tolong lah perbaiki sistemnya dulu seharusnya pembayaran boleh lah di awal tapi uang masih dicekal nanti baru uang bisa dilepas kalau dokter dan pasien sama klik konfirmasi selesai kalau dokter ga ngeklik selesai pasien boleh komplain harusnya karena artinya dokternya gak aktif atau ninggalin,"['saya', 'kesel', 'banget', 'sama', 'aplikasi', 'ini', 'saya', 'udah', 'keluarin', 'uang', 'tapi', 'pas', 'konsultasi', 'dibales', 'sama', 'dokternya', 'juga', 'engga', 'dana', 'ngga', 'bisa', 'direfund', 'lagi', 'kalau', 'spt', 'ini', 'yg', 'dirugikan', 'pasien', 'tolong', 'lah', 'perbaiki', 'sistemnya', 'dulu', 'seharusnya', 'pembayaran', 'boleh', 'lah', 'di', 'awal', 'tapi', 'uang', 'masih', 'dicekal', 'nanti', 'baru', 'uang', 'bisa', 'dilepas', 'kalau', 'dokter', 'dan', 'pasien', 'sama', 'klik', 'konfirmasi', 'selesai', 'kalau', 'dokter', 'ga', 'ngeklik', 'selesai', 'pasien', 'boleh', 'komplain', 'harusnya', 'karena', 'artinya', 'dokternya', 'gak', 'aktif', 'atau', 'ninggalin']",kesel banget aplikasi udah keluarin uang pas konsultasi dibales dokternya engga dana ngga direfund spt yg dirugikan pasien tolong perbaiki sistemnya pembayaran uang dicekal uang dilepas dokter pasien klik konfirmasi selesai dokter ga ngeklik selesai pasien komplain dokternya gak aktif ninggalin,kesel banget aplikasi udah keluarin uang pas konsultasi dibales dokter engga dana ngga direfund spt yg rugi pasien tolong baik sistem bayar uang cekal uang lepas dokter pasien klik konfirmasi selesai dokter ga ngeklik selesai pasien komplain dokter gak aktif ninggalin
"Dokternya bagus dan respek thd pasien.keluhan didengarkan, sangat terbantu dgn cara konsultasi secara online walau dimlm hr tetap bs konsul...thanks halodoc dan thanks Dokter ðŸ™ðŸ™ðŸ™",Positif,Dokternya bagus dan respek thd pasien keluhan didengarkan sangat terbantu dgn cara konsultasi secara online walau dimlm hr tetap bs konsul thanks halodoc dan thanks Dokter,dokternya bagus dan respek thd pasien keluhan didengarkan sangat terbantu dgn cara konsultasi secara online walau dimlm hr tetap bs konsul thanks halodoc dan thanks dokter,"['dokternya', 'bagus', 'dan', 'respek', 'thd', 'pasien', 'keluhan', 'didengarkan', 'sangat', 'terbantu', 'dgn', 'cara', 'konsultasi', 'secara', 'online', 'walau', 'dimlm', 'hr', 'tetap', 'bs', 'konsul', 'thanks', 'halodoc', 'dan', 'thanks', 'dokter']",dokternya bagus respek thd pasien keluhan didengarkan terbantu dgn konsultasi online dimlm hr bs konsul thanks halodoc thanks dokter,dokter bagus respek thd pasien keluh dengar bantu dgn konsultasi online dimlm hr bs konsul thanks halodoc thanks dokter
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
cacat beli antibiotiknya harus pake resep dokter ribetttt,Negatif,cacat beli antibiotiknya harus pake resep dokter ribetttt,cacat beli antibiotiknya harus pake resep dokter ribetttt,"['cacat', 'beli', 'antibiotiknya', 'harus', 'pake', 'resep', 'dokter', 'ribetttt']",cacat beli antibiotiknya pake resep dokter ribetttt,cacat beli antibiotik pake resep dokter ribetttt
Ok cepat kendala di perubahan alamat aja tdk bisa ditambah di catatan dan mintol gojeknya antar dengan nambahin ongkirnya seiklasnya puas dan dapat segera di minum obat nya tq,Positif,Ok cepat kendala di perubahan alamat aja tdk bisa ditambah di catatan dan mintol gojeknya antar dengan nambahin ongkirnya seiklasnya puas dan dapat segera di minum obat nya tq,ok cepat kendala di perubahan alamat aja tdk bisa ditambah di catatan dan mintol gojeknya antar dengan nambahin ongkirnya seiklasnya puas dan dapat segera di minum obat nya tq,"['ok', 'cepat', 'kendala', 'di', 'perubahan', 'alamat', 'aja', 'tdk', 'bisa', 'ditambah', 'di', 'catatan', 'dan', 'mintol', 'gojeknya', 'antar', 'dengan', 'nambahin', 'ongkirnya', 'seiklasnya', 'puas', 'dan', 'dapat', 'segera', 'di', 'minum', 'obat', 'nya', 'tq']",ok cepat kendala perubahan alamat aja tdk ditambah catatan mintol gojeknya nambahin ongkirnya seiklasnya puas minum obat nya tq,ok cepat kendala ubah alamat aja tdk tambah catat mintol gojek nambahin ongkirnya seiklasnya puas minum obat nya tq
Simple dan cepat,Positif,Simple dan cepat,simple dan cepat,"['simple', 'dan', 'cepat']",simple cepat,simple cepat
Baik,Positif,Baik,baik,['baik'],,
"Sangat efisien dan terbantukan banget,gak perlu antre lama2 utk konsultasi. recommended banget pokoknya, terima kasih halodoc",Positif,Sangat efisien dan terbantukan banget gak perlu antre lama utk konsultasi recommended banget pokoknya terima kasih halodoc,sangat efisien dan terbantukan banget gak perlu antre lama utk konsultasi recommended banget pokoknya terima kasih halodoc,"['sangat', 'efisien', 'dan', 'terbantukan', 'banget', 'gak', 'perlu', 'antre', 'lama', 'utk', 'konsultasi', 'recommended', 'banget', 'pokoknya', 'terima', 'kasih', 'halodoc']",efisien terbantukan banget gak antre utk konsultasi recommended banget pokoknya terima kasih halodoc,efisien bantu banget gak antre utk konsultasi recommended banget pokok terima kasih halodoc
App sangat bermanfaat,Positif,App sangat bermanfaat,app sangat bermanfaat,"['app', 'sangat', 'bermanfaat']",app bermanfaat,app manfaat
Tdk perlu ribet keluar bl obat..,Positif,Tdk perlu ribet keluar bl obat,tdk perlu ribet keluar bl obat,"['tdk', 'perlu', 'ribet', 'keluar', 'bl', 'obat']",tdk ribet bl obat,tdk ribet bl obat
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
"disaat genting halodoc penyelamat saya, terima kasih ðŸ™",Positif,disaat genting halodoc penyelamat saya terima kasih,disaat genting halodoc penyelamat saya terima kasih,"['disaat', 'genting', 'halodoc', 'penyelamat', 'saya', 'terima', 'kasih']",disaat genting halodoc penyelamat terima kasih,saat genting halodoc selamat terima kasih
Sangat bermanfaat,Positif,Sangat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']",bermanfaat,manfaat
"order obat malem2 , dapet driver tp drivernya ga bergerak2 , nama apotek ga diketahui , rugi ðŸ‘Ž lg urgent malah sial",Negatif,order obat malem dapet driver tp drivernya ga bergerak nama apotek ga diketahui rugi lg urgent malah sial,order obat malem dapet driver tp drivernya ga bergerak nama apotek ga diketahui rugi lg urgent malah sial,"['order', 'obat', 'malem', 'dapet', 'driver', 'tp', 'drivernya', 'ga', 'bergerak', 'nama', 'apotek', 'ga', 'diketahui', 'rugi', 'lg', 'urgent', 'malah', 'sial']",order obat malem dapet driver tp drivernya ga bergerak nama apotek ga rugi lg urgent sial,order obat malem dapet driver tp drivernya ga gerak nama apotek ga rugi lg urgent sial
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Aplikasi halodoc sangat membantu,Positif,Aplikasi halodoc sangat membantu,aplikasi halodoc sangat membantu,"['aplikasi', 'halodoc', 'sangat', 'membantu']",aplikasi halodoc membantu,aplikasi halodoc bantu
Dokternya baik,Positif,Dokternya baik,dokternya baik,"['dokternya', 'baik']",dokternya,dokter
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
"Baik, cepat, responsif",Positif,Baik cepat responsif,baik cepat responsif,"['baik', 'cepat', 'responsif']",cepat responsif,cepat responsif
"Tidak puas… Kenapa jawaban para dokte sama sperti di gogel , sama persis ketika saya browsing , bahkan sampe tulisan an nya / ketikan an nya sama persis sama di gogel ",Negatif,Tidak puas Kenapa jawaban para dokte sama sperti di gogel sama persis ketika saya browsing bahkan sampe tulisan an nya ketikan an nya sama persis sama di gogel,tidak puas kenapa jawaban para dokte sama sperti di gogel sama persis ketika saya browsing bahkan sampe tulisan an nya ketikan an nya sama persis sama di gogel,"['tidak', 'puas', 'kenapa', 'jawaban', 'para', 'dokte', 'sama', 'sperti', 'di', 'gogel', 'sama', 'persis', 'ketika', 'saya', 'browsing', 'bahkan', 'sampe', 'tulisan', 'an', 'nya', 'ketikan', 'an', 'nya', 'sama', 'persis', 'sama', 'di', 'gogel']",puas dokte sperti gogel persis browsing sampe tulisan an nya ketikan an nya persis gogel,puas dokte sperti gogel persis browsing sampe tulis an nya keti an nya persis gogel
Terbaik,Positif,Terbaik,terbaik,['terbaik'],terbaik,baik
Puas,Positif,Puas,puas,['puas'],puas,puas
Lebih baik daripada kompetitornya good docter,Positif,Lebih baik daripada kompetitornya good docter,lebih baik daripada kompetitornya good docter,"['lebih', 'baik', 'daripada', 'kompetitornya', 'good', 'docter']",kompetitornya good docter,kompetitor good docter
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat Baik dan dapat diandalkan ðŸ‘ðŸ‘,Positif,Sangat Baik dan dapat diandalkan,sangat baik dan dapat diandalkan,"['sangat', 'baik', 'dan', 'dapat', 'diandalkan']",diandalkan,andal
Gada konselin tpi duit ga dikurangi. Emng kurang kerjaan halodoc,Negatif,Gada konselin tpi duit ga dikurangi Emng kurang kerjaan halodoc,gada konselin tpi duit ga dikurangi emng kurang kerjaan halodoc,"['gada', 'konselin', 'tpi', 'duit', 'ga', 'dikurangi', 'emng', 'kurang', 'kerjaan', 'halodoc']",gada konselin tpi duit ga dikurangi emng kerjaan halodoc,gada konselin tpi duit ga rang emng kerja halodoc
Cukup membantu tanpa harus antri di rs tapi memang gak semua dr yg join di app ini. Jadi terbatas dr yg kita kenalnya,Positif,Cukup membantu tanpa harus antri di rs tapi memang gak semua dr yg join di app ini Jadi terbatas dr yg kita kenalnya,cukup membantu tanpa harus antri di rs tapi memang gak semua dr yg join di app ini jadi terbatas dr yg kita kenalnya,"['cukup', 'membantu', 'tanpa', 'harus', 'antri', 'di', 'rs', 'tapi', 'memang', 'gak', 'semua', 'dr', 'yg', 'join', 'di', 'app', 'ini', 'jadi', 'terbatas', 'dr', 'yg', 'kita', 'kenalnya']",membantu antri rs gak dr yg join app terbatas dr yg kenalnya,bantu antri rs gak dr yg join app batas dr yg kenal
Mudah dan sangat bermanfaat...,Positif,Mudah dan sangat bermanfaat,mudah dan sangat bermanfaat,"['mudah', 'dan', 'sangat', 'bermanfaat']",mudah bermanfaat,mudah manfaat
"Saya kurang puas dgn apk ini, dokternya lama balasnya.",Negatif,Saya kurang puas dgn apk ini dokternya lama balasnya,saya kurang puas dgn apk ini dokternya lama balasnya,"['saya', 'kurang', 'puas', 'dgn', 'apk', 'ini', 'dokternya', 'lama', 'balasnya']",puas dgn apk dokternya balasnya,puas dgn apk dokter balas
Good response,Positif,Good response,good response,"['good', 'response']",good response,good response
sangat membantu,Positif,sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Terima kasih,Positif,Terima kasih,terima kasih,"['terima', 'kasih']",terima kasih,terima kasih
App bagus buat yg malas pergi ke RS untuk berobat,Positif,App bagus buat yg malas pergi ke RS untuk berobat,app bagus buat yg malas pergi ke rs untuk berobat,"['app', 'bagus', 'buat', 'yg', 'malas', 'pergi', 'ke', 'rs', 'untuk', 'berobat']",app bagus yg malas pergi rs berobat,app bagus yg malas pergi rs obat
Walaupun sebentar gpp lah,Positif,Walaupun sebentar gpp lah,walaupun sebentar gpp lah,"['walaupun', 'sebentar', 'gpp', 'lah']",sebentar gpp,sebentar gpp
Membeli obat utk adik di semarang. Pemesanan dari Bali. Aman,Positif,Membeli obat utk adik di semarang Pemesanan dari Bali Aman,membeli obat utk adik di semarang pemesanan dari bali aman,"['membeli', 'obat', 'utk', 'adik', 'di', 'semarang', 'pemesanan', 'dari', 'bali', 'aman']",membeli obat utk adik semarang pemesanan bali aman,beli obat utk adik semarang mesan bal aman
sangat membantu sekali,Positif,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",membantu,bantu
"Mw beli obat diarahkan konsultasi, udah konsultasi sm dokter tetap aja nga bisa. Jd males make nya mending beli sendiri ke apotik",Negatif,Mw beli obat diarahkan konsultasi udah konsultasi sm dokter tetap aja nga bisa Jd males make nya mending beli sendiri ke apotik,mw beli obat diarahkan konsultasi udah konsultasi sm dokter tetap aja nga bisa jd males make nya mending beli sendiri ke apotik,"['mw', 'beli', 'obat', 'diarahkan', 'konsultasi', 'udah', 'konsultasi', 'sm', 'dokter', 'tetap', 'aja', 'nga', 'bisa', 'jd', 'males', 'make', 'nya', 'mending', 'beli', 'sendiri', 'ke', 'apotik']",mw beli obat diarahkan konsultasi udah konsultasi sm dokter aja nga jd males make nya mending beli apotik,mw beli obat arah konsultasi udah konsultasi sm dokter aja nga jd males make nya mending beli apotik
Sangat membantu dlm keadaan darurat,Positif,Sangat membantu dlm keadaan darurat,sangat membantu dlm keadaan darurat,"['sangat', 'membantu', 'dlm', 'keadaan', 'darurat']",membantu dlm darurat,bantu dlm darurat
Memudahkan,Positif,Memudahkan,memudahkan,['memudahkan'],memudahkan,mudah
Dokternya sangat ramah,Positif,Dokternya sangat ramah,dokternya sangat ramah,"['dokternya', 'sangat', 'ramah']",dokternya ramah,dokter ramah
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Mantap,Positif,Mantap,mantap,['mantap'],mantap,mantap
gratis matamu,Negatif,gratis matamu,gratis matamu,"['gratis', 'matamu']",gratis matamu,gratis mata
"Dokter nya ramah, responnya cepat. Semoga makin sukses",Positif,Dokter nya ramah responnya cepat Semoga makin sukses,dokter nya ramah responnya cepat semoga makin sukses,"['dokter', 'nya', 'ramah', 'responnya', 'cepat', 'semoga', 'makin', 'sukses']",dokter nya ramah responnya cepat semoga sukses,dokter nya ramah responnya cepat moga sukses
Layanan cepat dan baik,Positif,Layanan cepat dan baik,layanan cepat dan baik,"['layanan', 'cepat', 'dan', 'baik']",layanan cepat,layan cepat
